Source,Target,Weight
mfadillubis,fahrul_amir60,1
mfadillubis,imwageningen,1
mfadillubis,neollexador,1
mfadillubis,profesor_saham,1
mfadillubis,saptaitb,1
mfadillubis,socialiteghibah,1
mfadillubis,tradingdiary2,1
miekuah02,tanyarlfes,1
mikuahayambwg,destryangryana,1
mikuahayambwg,fairestwin,1
mindplater,lambesahamjja,1
minesuga27,valiisaa,1
missri6ht13,btsjecnj,1
missri6ht13,ftruntr,1
mistharozhima,ardisatriawan,1
mncrgknskl,kegblgnunfaedh,1
mnwgyu97,scougyu,1
mochilattaeeeee,darderdor_100x,1
mochilattaeeeee,risristidf,1
moneyeppo,eepybabiee,1
moneyeppo,strobervii,1
monsterrgunn,sweetipiieee,1
monsterrgunn,unmagnetism,1
mooniyy,betaepsilonphi,1
moonlightfoxs,amomumzingiber,1
morgenlich666,gunawan75_,1
mqb_annabi,ayang_utriza,1
mrb4ron,hani_titik,1
mrb4ron,kebab_maryam,1
mrcorleoneeeeee,kpk_ri,2
mrcorleoneeeeee,mrtweepsid,1
mrtweepsid,andaharustahuu,1
mrtweepsid,beritapinjol,1
mrtweepsid,bpkn_ri,1
mrtweepsid,ccicpolri,6
mrtweepsid,dedimulyadi71,1
mrtweepsid,divhumas_polri,2
mrtweepsid,grok,1
mrtweepsid,habiburokhman,1
mrtweepsid,kemkominfo,1
mrtweepsid,kpk_ri,2
mrtweepsid,kppu,3
mrtweepsid,listyosigitp,1
mrtweepsid,ngopipagi923441,1
mrtweepsid,officialafpi,2
mrtweepsid,ojkindonesia,5
mrtweepsid,ombudsmanri137,1
mrtweepsid,pinjolengineers,1
mrtweepsid,prabowo,1
mrtweepsid,respandeglang,1
mrtweepsid,x4indonesiaraya,1
msropi,gojekmilitan,1
msropi,prabowo,1
muchlis_ar,josher1189800,1
muchlis_ar,ojkindonesia,1
muiii8888,txtharihariwni,1
murdynsari,txtharihariwni,1
mushollarapi,txtdaritruck,1
mximc,dipsilovebot,1
myamygdala_93,dadifir27587251,1
myamygdala_93,gojekmilitan,1
myamygdala_93,mawasdir,1
myamygdala_93,sandika_noor,1
mydebfree25,mine539531mine,1
mydebfree25,thunderthieff,1
mylifenano2,dipuppy_,1
mynameprada,0jenry1,1
