Id,Label,Degree,InDegree,OutDegree,Betweenness,Topik_Dominan
manusiakeraaa,manusiakeraaa,0.0046801872074883,0.0,0.0046801872074883,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
redapusi,redapusi,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
polresjogja,polresjogja,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
polresjakpus,polresjakpus,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
nuel_monggesang,nuel_monggesang,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
onod32,onod32,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
saturdjay,saturdjay,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
sandiorgdalem,sandiorgdalem,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
txtmlbb,txtmlbb,0.00078003120124805,0.00078003120124805,0.0,0.0,Tidak Ada Topik / Target Saja
yedi_extki,yedi_extki,0.0031201248049922,0.0,0.0031201248049922,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
wanagus493,wanagus493,0.00078003120124805,0.0,0.00078003120124805,0.0,Topik 4: Teror Debt Collector & Kasus Pinjol Ilegal
